sample,dsc,nsd,gt_area,pred_area,missing_pred
1955.png,0.3447072072072072,0.3710135033984364,3061,14699,False
1956.png,0.918364073777065,0.9710423603630705,3371,2864,False
1957.png,0.8859457374308859,0.9423655914312743,4038,3739,False
1958.png,0.7745155607751028,0.8270202219381713,4168,2644,False
1959.png,0.0,0.0,786,10008,False
196.png,0.4275474303751685,0.44153314359839047,13093,47733,False
1960.png,0.0,0.0,4863,5352,False
1961.png,0.2856232068855595,0.3434518578963177,8067,1344,False
1962.png,0.5502571702554268,0.5986154896563197,8206,3265,False
1963.png,0.5793466167694953,0.6255656691265068,7023,2864,False
1964.png,0.6258711802098491,0.6641292933416179,4086,8971,False
1965.png,0.7003437453295471,0.7396996272774967,5609,7773,False
1966.png,0.9141713091922006,0.9502859895967921,5973,5515,False
1967.png,0.8039403072851576,0.8304733340145625,6523,7080,False
1968.png,0.817006747418909,0.8537749848395272,5800,6501,False
1969.png,0.7643005928537093,0.8251615764869905,3352,2889,False
197.png,0.6902189997040544,0.71879135480421,9911,17121,False
1970.png,0.0,0.002760126787199224,8008,4340,False
1971.png,0.18099632733779075,0.20836501463412274,7034,3585,False
1972.png,0.5103045216856352,0.564747428100574,3568,9436,False
1973.png,0.43541717343711994,0.49323331851010654,2164,6058,False
1974.png,0.0,0.0,909,11177,False
1975.png,0.09977058101691298,0.12496618861582463,1730,17013,False
1976.png,0.23119550158911253,0.2561882171890205,2902,21640,False
1977.png,0.2590380139643134,0.28367334834119873,3345,22435,False
1978.png,0.44926038139369096,0.47753884895024773,6302,21753,False
1979.png,0.3274958377011778,0.3470792664291541,5311,27123,False
198.png,0.8834741599528395,0.950777859962379,2398,2691,False
1980.png,0.5098261312793793,0.5382734310884199,4537,13120,False
1981.png,0.44929726462142966,0.4802031893449884,3149,10085,False
1982.png,0.6644383672642561,0.7187065345862927,6522,3351,False
1983.png,0.0,0.0,3244,2231,False
1984.png,0.8394946186242396,0.9114759500634462,1001,1136,False
1985.png,0.9052932761087268,0.9702007041252594,1850,1645,False
1986.png,0.5404963185164985,0.5827559131215858,3061,7940,False
1987.png,0.0,0.0,1991,15684,False
1988.png,0.375848517327617,0.410074849024185,1729,6668,False
1989.png,0.4644602194155066,0.5014224905654414,3036,7811,False
199.png,0.9166845148854145,0.9721058632605177,2149,2520,False
1990.png,0.0,0.0,9377,12284,False
1991.png,0.5678602790516148,0.6228205570350582,6384,3865,False
1992.png,0.37813417664332505,0.4207417489735803,6467,2387,False
1993.png,0.0,0.0,5938,2364,False
1994.png,0.0,0.0006024458687167734,4785,3363,False
1995.png,0.03641920285241309,0.06211709406883126,3104,4749,False
1996.png,0.18137333120578691,0.19728887492585767,3539,34063,False
1997.png,0.0,0.0,3380,6948,False
